=== Starting Dice Jobs Scraper Tests for keyword: "Artificial Intelligence" ===
=== Starting Dice Jobs Scraper Tests for keyword: "AI Engineer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Data Scientist" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Data Science" ===
=== Starting Dice Jobs Scraper Tests for keyword: "ML Researcher" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Deep Learning Engineer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Data Analyst" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Data Engineer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Big Data Engineer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "AI Researcher" ===
=== Starting Dice Jobs Scraper Tests for keyword: "NLP Engineer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Computer Vision Engineer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Data Mining Specialist" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Statistical Analyst" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Quantitative Analyst" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Predictive Modeler" ===
=== Starting Dice Jobs Scraper Tests for keyword: "AI/ML Developer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "LLM Specialist" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Machine Learning Engineer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Machine Learning" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Applied Scientist" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Research Scientist" ===
=== Starting Dice Jobs Scraper Tests for keyword: "ML Ops Engineer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "AI Solutions Architect" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Machine Learning Developer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "AI/ML Consultant" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Business Intelligence Analyst" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Analytics Engineer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Data Science Manager" ===
[2024-07-19 00:32:32] Fetching jobs for keyword: "Artificial Intelligence"
[2024-07-19 00:33:16] Job ID 1dc22bd7-a590-47de-bd5e-3fcc37f31072 added to set
[2024-07-19 00:33:16] Job ID d9995b82-9505-4aca-974c-72894b80d859 added to set
[2024-07-19 00:33:16] Job ID 55c23354-c9c8-4a9e-8720-5b4aa85c1fcc added to set
[2024-07-19 00:33:16] Job ID e5fa3ac8-2107-4fe7-89c4-6ab03c1f62b9 added to set
[2024-07-19 00:33:16] Job ID 6ba5cc0d-a7c9-4d7e-8a74-f8f7c377f376 added to set
[2024-07-19 00:33:16] Job ID 3ddf2aab-36ab-4bb5-8595-de182633c653 added to set
[2024-07-19 00:33:16] Job ID 8dfb97c8-25a1-4a0d-a2ed-830c8cc88b32 added to set
[2024-07-19 00:33:16] Job ID cc999d08-439d-438f-abd3-61084fbd0cd1 added to set
[2024-07-19 00:33:16] Job ID 23ff182d-d752-4786-b9e6-358ac7ab303d added to set
[2024-07-19 00:33:16] Job ID b195b23a-456e-4bfa-9e5b-731d45756023 added to set
[2024-07-19 00:33:16] Job ID 243725bf-1216-429f-a640-98d6e6bdb341 added to set
[2024-07-19 00:33:16] Job ID 11dc75c0-b264-4140-b6c1-7a7ce4211a65 added to set
[2024-07-19 00:33:16] Job ID 18480272-8c8c-4799-84a2-b3383f978012 added to set
[2024-07-19 00:33:16] Job ID f4386d0c-f984-444c-8d31-604cd7bddc95 added to set
[2024-07-19 00:33:16] Job ID e7c7d603-620d-4069-a511-c1acaafc8432 added to set
[2024-07-19 00:33:16] Job ID 4ebe96b7-885d-497c-84b1-e064480d127d added to set
[2024-07-19 00:33:16] Job ID 626f1b24-0278-4f69-aea2-d1bfdc6a17a7 added to set
[2024-07-19 00:33:16] Job ID 4d46ca18-7a78-4aec-9b3e-4c6056440118 added to set
[2024-07-19 00:33:16] Job ID d58fd214-5353-40cb-9e21-f0691fb7ff09 added to set
[2024-07-19 00:33:16] Job ID 6baf8411-3313-4dfe-93be-622c9edeb697 added to set
[2024-07-19 00:33:16] Job ID af8c9c10-ebcb-41f4-bdc0-75ccd5d45629 added to set
[2024-07-19 00:33:16] Job ID 5a0e33c7-91a7-4879-a6bb-9ecf842c84b9 added to set
[2024-07-19 00:33:16] Job ID 5208210e-608d-49df-aae2-9b1b1b21e5ab added to set
[2024-07-19 00:33:16] Job ID 0e8dc39c-423c-4ba8-8e0c-d5adacc399da added to set
[2024-07-19 00:33:16] Job ID 856e9bf3-28c6-4991-a6b6-34984c206e45 added to set
[2024-07-19 00:33:16] Job ID 79b481c5-5055-4cf2-a726-5482f1110306 added to set
[2024-07-19 00:33:16] Job ID 7d86432b-efe1-4f12-979e-1e244917eea1 added to set
[2024-07-19 00:33:16] Job ID 435a9b0b-d90b-4503-ac23-d88b921702a6 added to set
[2024-07-19 00:33:16] Job ID a8aa60bf-1fea-467d-be13-753fe4cf1201 added to set
[2024-07-19 00:33:16] Job ID c8370d0c-1288-419c-8dd7-3eeb4bf4d6f8 added to set
[2024-07-19 00:33:16] Job ID 67b2dc98-1ed6-43e8-8f40-87baa7e9d531 added to set
[2024-07-19 00:33:16] Job ID 4785150a-a4d0-4f1a-bbbc-afd0a5b9a64f added to set
