=== Starting Dice Jobs Scraper Tests for keyword: "Artificial Intelligence" ===
=== Starting Dice Jobs Scraper Tests for keyword: "AI Engineer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Data Scientist" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Data Science" ===
=== Starting Dice Jobs Scraper Tests for keyword: "ML Researcher" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Deep Learning Engineer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Data Analyst" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Data Engineer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Big Data Engineer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "AI Researcher" ===
=== Starting Dice Jobs Scraper Tests for keyword: "NLP Engineer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Computer Vision Engineer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Data Mining Specialist" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Statistical Analyst" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Quantitative Analyst" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Predictive Modeler" ===
=== Starting Dice Jobs Scraper Tests for keyword: "AI/ML Developer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "LLM Specialist" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Machine Learning Engineer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Machine Learning" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Applied Scientist" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Research Scientist" ===
=== Starting Dice Jobs Scraper Tests for keyword: "ML Ops Engineer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "AI Solutions Architect" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Machine Learning Developer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "AI/ML Consultant" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Business Intelligence Analyst" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Analytics Engineer" ===
=== Starting Dice Jobs Scraper Tests for keyword: "Data Science Manager" ===
[2024-07-19 00:12:20] Fetching jobs for keyword: "Artificial Intelligence"
[2024-07-19 00:12:44] Job ID d5722b6b-1901-43cb-b73e-e549858f378a added to set
[2024-07-19 00:12:44] Job ID 5a5eaa40-2db7-4b9c-8fc1-e7c53a1dee9b added to set
[2024-07-19 00:12:44] Job ID f903aef8-2e4a-4707-b99f-9f9d435c4687 added to set
[2024-07-19 00:12:44] Job ID ccbbfb4c-bd65-4fb6-b186-c73000d63590 added to set
[2024-07-19 00:12:44] Job ID 60af57d4-7117-4529-89b9-c6253d51ef3a added to set
[2024-07-19 00:12:44] Job ID da8b2374-b87d-40b1-9576-707a7a27c84d added to set
[2024-07-19 00:12:44] Job ID 115c5655-aab6-4dd9-9664-f5d2ae443363 added to set
[2024-07-19 00:12:44] Job ID 1ee8ba4b-29ac-494b-8289-07534d9a555b added to set
[2024-07-19 00:12:44] Job ID f8edce8d-733f-4ea9-960e-f3e28d55ea5c added to set
[2024-07-19 00:12:44] Job ID eea1545c-c095-4c7c-9af7-02c173319359 added to set
[2024-07-19 00:12:44] Job ID a194d597-dad5-448b-8e99-11e134c66bd0 added to set
[2024-07-19 00:12:44] Job ID 7c688eec-e486-4e1a-982c-225c0d60e7ba added to set
[2024-07-19 00:12:44] Job ID 3ad3daeb-cf9a-467a-83db-a71753cf4e54 added to set
[2024-07-19 00:12:44] Job ID 08cfc48a-e333-427b-a710-6565980175d8 added to set
[2024-07-19 00:12:44] Job ID ea45e28c-a700-4d33-b1b8-061e582ba327 added to set
[2024-07-19 00:12:44] Job ID 6eb32754-b89f-4b0b-8fcd-c30479f2f0e4 added to set
[2024-07-19 00:12:44] Job ID dba18c30-758d-4882-afaa-a7e826449346 added to set
[2024-07-19 00:12:44] Job ID aa6fccd1-89a0-47e7-ae51-40eaf5aa8526 added to set
[2024-07-19 00:12:44] Job ID f6efb658-6f38-4094-888e-381021bdb190 added to set
[2024-07-19 00:12:44] Job ID 1fc34600-ecbe-4b60-8683-1acc41bbf95d added to set
[2024-07-19 00:12:44] Job ID 2aa103bf-5750-48a0-8412-d230116e06c8 added to set
[2024-07-19 00:12:44] Job ID b228b288-7979-42dd-9e89-38c14a0d322b added to set
[2024-07-19 00:12:44] Job ID b671268e-3073-46e7-80ea-6576680f5412 added to set
[2024-07-19 00:12:44] Job ID 6451924c-9e43-45f2-a19e-81126840d59c added to set
[2024-07-19 00:12:44] Job ID ba2f6d11-ac24-4f6b-bf76-f8f51ac6fba5 added to set
[2024-07-19 00:12:44] Job ID da5bd1e9-19cc-40fb-a233-ce6381d0f6f0 added to set
[2024-07-19 00:12:44] Job ID 319c9347-96b4-4b42-af8f-acb52b0301a5 added to set
[2024-07-19 00:12:44] Job ID b9511340-bf59-4ee3-adee-e6b1f394e394 added to set
